[2023-11-13 22:37:10:2118][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-11-13 22:37:10:2122][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-11-13 22:37:10:2443][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-11-13 22:37:11:2661][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
[2023-11-13 22:37:11:2677][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41271320, org.springframework.security.web.context.SecurityContextPersistenceFilter@75b6bd41, org.springframework.security.web.header.HeaderWriterFilter@11b74ecb, org.springframework.security.web.authentication.logout.LogoutFilter@6db2a260, com.example.stock.security.JwtAuthenticationFilter@7c6fc278, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e484bd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3ef4a8fb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a2881d6, org.springframework.security.web.session.SessionManagementFilter@26a004ed, org.springframework.security.web.access.ExceptionTranslationFilter@6ab6ec33, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@37ad818e]
[2023-11-13 22:37:11:2927][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-11-13 22:37:11:2945][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-11-13 22:37:11:2952][main] INFO  com.example.stock.StockApplication - Started StockApplication in 2.844 seconds (JVM running for 3.2)
[2023-11-13 22:37:34:26095][http-nio-8080-exec-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2023-11-13 22:37:34:26096][http-nio-8080-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2023-11-13 22:37:34:26096][http-nio-8080-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
[2023-11-13 22:38:40:92150][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-11-13 22:38:40:92151][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-11-13 22:38:40:92152][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
